inputfile,mcc,auc,balance,pd,pf,final_ratio,processing_time
JDT.csv,0.5495013084360751,0.8032271319676587,0.7951549752627032,0.7619434765776228,0.05548921264230545,0.5,1373.3419427076976
LC.csv,0.2939026387748502,0.7204699226699226,0.7087187112337056,0.6662393162393162,0.2252994708994708,0.5,538.3592789173126
ML.csv,0.34732277504724385,0.7363102420955387,0.7298032094343149,0.7156462585034014,0.143025774312324,0.5,3302.21560827891
PDE.csv,0.31338999812160356,0.7059729583037263,0.6983864329757288,0.6502903600464576,0.23834444343900496,0.5,1406.6488365332286
CM1.csv,0.3006681109669614,0.7125487329434698,0.6838035278117088,0.7712962962962964,0.0461988304093566,0.5,625.808757464091
MW1.csv,0.2896802772058846,0.7133333333333334,0.6929194242605045,0.7066666666666667,0.17999999999999997,0.5,345.57546933492023
PC1.csv,0.38637904392014205,0.8173481915933528,0.792869246989261,0.8606060606060607,0.22590967741935478,0.5,506.8162838617961
PC3.csv,0.39245247880911643,0.775587544065805,0.7699524289642312,0.8000000000000002,0.2488249118683901,0.5,1019.3970847129822
PC4.csv,0.5715032414367728,0.8689383245792696,0.8581370974827182,0.9127513227513228,0.1748746735927834,0.5,2764.302633047104
ant-1.3.csv,0.45304731333346915,0.7841269841269843,0.7300739756191784,0.8000000000000002,0.23174603174603167,0.5,248.36685689290366
camel-1.0.csv,0.15580395107818815,0.6784149184149184,0.6342139986731133,0.6666666666666666,0.20983682983682975,0.5,225.07345914840698
# jedit-3.2.csv,0.5562201575025912,0.7900150150150149,0.7870826150560694,0.7962962962962963,0.21626626626626622,0.5,517.0018275578817
# log4j-1.0.csv,0.5254311357210387,0.7765873015873016,0.754147711060687,0.7793650793650794,0.22619047619047614,0.5,327.92122586568195
synapse-1.0.csv,0.3388683278904554,0.7638888888888888,0.7075343005523927,0.8277777777777778,0.3,0.5,214.311767578125
xalan-2.4.csv,0.39960124675959435,0.7603138542562773,0.7509171174189402,0.7696969696969697,0.2490692611844151,0.5,786.7880447705587
# Zxing.csv,0.3514123271734857,0.6889833278849297,0.6700154379318578,0.7483091787439614,0.3703425229741019,0.5,750.0333304405212
ar1.csv,0.3003158986728788,0.7820158102766799,0.7245543843886697,0.9,0.2359683794466403,0.5,228.57752688725785
ar3.csv,0.5871343952866948,0.8136363636363636,0.7405331191233895,0.6999999999999998,0.0727272727272727,0.5,216.81846682230636
ar4.csv,0.4081624091703941,0.7419389978213506,0.711187680985622,0.7333333333333334,0.1494553376906318,0.5,300.9768802324931
ar5.csv,0.6367995825570778,0.8433333333333334,0.8151652444604197,0.9,0.2133333333333333,0.5,211.37524604797363
ar6.csv,0.2413373055819171,0.6601307189542484,0.6317769754918102,0.6888888888888888,0.2086274509803922,0.5,257.5757094224294
