inputfile,mcc,auc,balance,pd,pf,final_ratio,processing_time
JDT.csv,0.4892866301756291,0.7644532682830668,0.748036071049898,0.6831591173054589,0.1542525807393254,0.5,2796.3161947727203
LC.csv,0.35595103794916455,0.7194240944240944,0.667823731132214,0.5457264957264957,0.10687830687830684,0.5,711.0497912565867
ML.csv,0.30436039315261926,0.7137457777132946,0.7093930006685172,0.7183673469387756,0.2908757915121864,0.5,4746.160735289256
PDE.csv,0.2861989110681191,0.6843853505303413,0.6723131640412904,0.6011227255129694,0.23235202445228678,0.5,2298.0616602897644
CM1.csv,0.2691311005426268,0.6772417153996102,0.6334920779211997,0.7462962962962963,0.391812865497076,0.5,646.8006722927094
MW1.csv,0.2669610840924358,0.705925925925926,0.6956388017028518,0.7066666666666667,0.2948148148148148,0.5,254.64512674013773
PC1.csv,0.27923218962978313,0.729842228739003,0.7185980984693267,0.7090909090909091,0.24940645161290323,0.5,711.4389382998148
PC3.csv,0.35482030720917707,0.7615799662538794,0.7469888764289051,0.8384615384615385,0.3153016059537798,0.5,1467.4914015928905
PC4.csv,0.4302235869466655,0.7992248348098543,0.7739207028057852,0.8957671957671959,0.2973175261474872,0.5,1504.433322429657
ant-1.3.csv,0.3429811621449473,0.7210317460317461,0.688393727624646,0.75,0.3079365079365079,0.5,1407.1490333080292
camel-1.0.csv,0.18181599972434725,0.7201787101787102,0.69603463275421,0.7666666666666666,0.3263092463092463,0.5,448.73197317123413
# jedit-3.2.csv,0.5182427728067632,0.7671921921921921,0.7629574739647936,0.7444444444444445,0.21006006006006003,0.5,934.3057023684183
# log4j-1.0.csv,0.518257795384654,0.769126984126984,0.7438113965833195,0.7412698412698413,0.20301587301587298,0.5,482.7321364879608
synapse-1.0.csv,0.29814254526513095,0.7421182266009853,0.6642442920078669,0.8666666666666668,0.3824302134646962,0.5,242.45603052775064
xalan-2.4.csv,0.3699818408023146,0.7416663637575273,0.7318578252176619,0.7454545454545455,0.2621218179394908,0.5,1468.1738535563152
# Zxing.csv,0.17784069387448134,0.5918451018851476,0.5747444945788542,0.48272946859903376,0.2990392648287385,0.5,1381.0537616411846
ar1.csv,0.09394278007161307,0.5896574440052701,0.5438253574112003,0.5666666666666667,0.38735177865612647,0.5,139.42435654004416
ar3.csv,0.37481638521838484,0.7378787878787879,0.6864090932417946,0.6999999999999998,0.22424242424242424,0.5,97.36930855115254
ar4.csv,0.42412669336810166,0.7525599128540305,0.7381599236412967,0.75,0.24488017429193898,0.5,183.87692856788635
ar5.csv,0.6181631354021482,0.8322222222222222,0.7994517604340518,0.9,0.2355555555555555,0.5,79.61419129371643
ar6.csv,0.23997143965884069,0.6155773420479301,0.5481093428821127,0.4222222222222222,0.19106753812636165,0.5,181.0664632320404
