inputfile,mcc,auc,balance,pd,pf,final_ratio,processing_time
JDT.csv,0.4656593654674497,0.7316726292071,0.687899551729685,0.572938443670151,0.10959318525595092,0.5,588.1957456270853
LC.csv,0.39384731782910803,0.7516501424501424,0.7174479146305184,0.6256410256410255,0.12234074074074068,0.5,321.25475366910297
ML.csv,0.23775764068850988,0.6201515628993638,0.5303861144147772,0.3442176870748299,0.10391456127610234,0.5,936.0003076394399
PDE.csv,0.32076921188461355,0.6639794511302664,0.5908430629113136,0.4307007355787844,0.10274183331825167,0.5,575.0717724164327
CM1.csv,0.256339162790543,0.6739766081871346,0.6527402204108452,0.6777777777777777,0.3098245614035087,0.5,235.97474328676864
MW1.csv,0.2152636750619024,0.6755555555555556,0.6467506814239287,0.7600000000000001,0.40888888888888886,0.5,73.69223578770955
PC1.csv,0.24108308981251478,0.6926823069403715,0.6816974092031449,0.6181818181818182,0.23281720430107522,0.5,281.2922952969869
PC3.csv,0.32015180994624826,0.7325252342643647,0.7296665495698919,0.764102564102564,0.29905209557383466,0.5,486.5093930562337
PC4.csv,0.3776358460486293,0.7579616230891837,0.7550312604751509,0.7815873015873015,0.26566405540893406,0.5,475.8651330471039
ant-1.3.csv,0.35454453108938216,0.7222222222222223,0.6666767369333968,0.8000000000000002,0.35555555555555546,0.5,115.35028704007466
camel-1.0.csv,0.0778813256585586,0.5875524475524476,0.5397646247774591,0.4666666666666666,0.2915617715617715,0.5,78.84457691510518
# jedit-3.2.csv,0.5160159968755095,0.7698698698698699,0.7686055625218478,0.777777777777778,0.23803803803803802,0.5,165.99315841992697
# log4j-1.0.csv,0.5064212432522097,0.7538095238095238,0.7150543560367725,0.7333333333333334,0.22571428571428567,0.5,173.02710247039795
synapse-1.0.csv,0.1632289602529039,0.6333743842364532,0.5678847303549841,0.75,0.4832512315270936,0.5,47.12320804595947
xalan-2.4.csv,0.3476510046589887,0.7329223866009151,0.7230144748321164,0.7666666666666666,0.3008218934648363,0.5,464.5053822199504
# Zxing.csv,0.21243992975986656,0.6094393592677344,0.591921097244454,0.506159420289855,0.2872807017543859,0.5,512.7837107181549
ar1.csv,0.0727973010181281,0.5812252964426877,0.5323144411396792,0.6,0.4375494071146245,0.5,25.601139148076374
ar3.csv,0.2799668791042061,0.6954545454545454,0.6238949916027485,0.6999999999999998,0.3090909090909091,0.5,24.010327100753784
ar4.csv,0.3338888865245216,0.6988562091503269,0.6938473011567639,0.65,0.2522875816993464,0.5,65.1000866095225
ar5.csv,0.6616095212416979,0.86,0.8387354704999709,0.9,0.18000000000000002,0.5,27.517394065856934
ar6.csv,0.2688808929551823,0.6205882352941177,0.5231381682296353,0.3333333333333333,0.092156862745098,0.5,74.85362958908081
