inputfile,mcc,auc,balance,pd,pf,final_ratio,processing_time
JDT.csv,0.4826011764195893,0.8738429125565266,0.7693920027501172,0.7394115369725126,0.19172571185945908,0.5,975.2070698738098
LC.csv,0.2325855929467626,0.6824308506308506,0.6725901614869212,0.6269230769230769,0.26206137566137566,0.5,370.105745156606
ML.csv,0.32774011212957754,0.7287066483513484,0.7248325029589324,0.7319727891156463,0.2745594924129496,0.5,1130.0289264520009
PDE.csv,0.3517641955481464,0.7690222098066217,0.6632440504228195,0.6118466898954703,0.27380227028222676,0.5,1388.3697994550068
CM1.csv,0.320929134066106,0.7329922027290449,0.6932656520225117,0.8203703703703704,0.25438596491228064,0.5,352.765278339386
MW1.csv,0.2568462748603854,0.7051851851851852,0.6955005894152753,0.7466666666666667,0.33629629629629626,0.5,216.02404379844666
PC1.csv,0.33923638166022596,0.8783006842619745,0.766793249343555,0.787878787878788,0.2312774193548387,0.5,421.3531125386556
PC3.csv,0.3743592532123646,0.7663489409141584,0.7622546494660055,0.794871794871795,0.26217391304347826,0.5,1081.8034558296204
PC4.csv,0.5227440087689778,0.9383393079069842,0.835197683693981,0.8619047619047618,0.1852261460907935,0.5,727.7230132420858
ant-1.3.csv,0.27777559384359146,0.6797619047619049,0.6573056231240306,0.6833333333333332,0.32380952380952377,0.5,106.41211573282878
camel-1.0.csv,0.21738886383651415,0.7366278166278166,0.6024198902033384,0.5555555555555555,0.28229992229992235,0.5,76.47187503178914
# jedit-3.2.csv,0.5199920562005788,0.7690940940940941,0.7639065486676689,0.762962962962963,0.2247747747747747,0.5,310.9780149459839
# log4j-1.0.csv,0.49891646372557846,0.7598412698412699,0.7339300644325598,0.761904761904762,0.2422222222222222,0.5,181.300253311793
synapse-1.0.csv,0.2891371885149642,0.7341406677613573,0.6649837748806382,0.8222222222222223,0.35394088669950735,0.5,90.5144453048706
xalan-2.4.csv,0.3369613663448088,0.7216390211592131,0.7113309872906739,0.7151515151515152,0.27187347283308894,0.5,639.0038429896036
# Zxing.csv,0.21534033017799795,0.6152051323962079,0.6078031769029941,0.5733091787439614,0.3428989139515455,0.5,461.1391709645589
ar1.csv,0.1977078638424594,0.6899868247694334,0.6255159348401805,0.7000000000000001,0.3200263504611331,0.5,71.68275046348572
ar3.csv,0.22514525617001166,0.6742424242424242,0.605031292936126,0.6333333333333333,0.28484848484848485,0.5,50.34660283724467
ar4.csv,0.3453333442133994,0.7098039215686273,0.6982732415896497,0.6999999999999998,0.28039215686274505,0.5,136.2051694393158
ar5.csv,0.5864579334294336,0.82,0.7821669280050472,0.9,0.25999999999999995,0.5,41.23511083920797
ar6.csv,0.24955693273275706,0.7574074074074074,0.640928226244538,0.5999999999999999,0.2851851851851852,0.5,100.28911646207173
