inputfile,mcc,auc,balance,pd,pf,final_ratio,processing_time
JDT.csv,0.482311979041302,0.7640823628544041,0.7533615028538739,0.6975222609368951,0.06935753522808686,0.5,1182.1049556732178
LC.csv,0.2497664852025884,0.703802849002849,0.6842289343543921,0.7572649572649572,0.24965925925925917,0.5,384.09227244059247
ML.csv,0.23162134592899145,0.6693625793397281,0.6599396821825401,0.7278911564625851,0.38916599778312877,0.5,1641.7426367600758
PDE.csv,0.2330275577850599,0.6636191972788815,0.660261313587336,0.6743321718931475,0.3470937773353844,0.5,1253.7067827383678
CM1.csv,0.22583228840769784,0.6646198830409357,0.5944531900337555,0.8777777777777779,0.3485380116959065,0.5,234.6612830956777
MW1.csv,0.2412131085915754,0.6859259259259259,0.6690981818552989,0.7066666666666667,0.33481481481481473,0.5,157.02253572146097
PC1.csv,0.3209986393587342,0.7860660801564028,0.7443901286626069,0.9151515151515152,0.24301935483870966,0.5,295.1984228293101
PC3.csv,0.32708998246954263,0.7389721745156527,0.7312879155164896,0.782051282051282,0.3041069330199765,0.5,800.1225727399191
PC4.csv,0.4334438999590673,0.8084512189526643,0.7630339743913822,0.9447619047619048,0.3278594668565763,0.5,2366.373642683029
ant-1.3.csv,0.4487795509016641,0.7857142857142857,0.7594937750955147,0.8000000000000002,0.2285714285714285,0.5,154.70767537752786
camel-1.0.csv,0.19928818580191554,0.6979487179487179,0.6534012728398045,0.6666666666666666,0.2707692307692307,0.5,119.05730525652568
# jedit-3.2.csv,0.47265086224760067,0.747922922922923,0.7435466193356611,0.7592592592592592,0.26341341341341334,0.5,436.67122801144916
# log4j-1.0.csv,0.4821049244249205,0.7469047619047618,0.7244732651051851,0.6809523809523809,0.18714285714285708,0.5,248.46664969126383
synapse-1.0.csv,0.25955490879867893,0.7084975369458127,0.6248376188191864,0.8000000000000002,0.3230049261083744,0.5,130.19625051816305
xalan-2.4.csv,0.31335112405379956,0.7068419097007661,0.6999914154033787,0.7030303030303031,0.2893464836287707,0.5,819.3665529886881
# Zxing.csv,0.25575247096260917,0.6387867313210562,0.6253703954883637,0.7165458937198067,0.4389724310776943,0.5,491.95807695388794
ar1.csv,0.23758530838834016,0.7207509881422925,0.6182257279821605,0.9666666666666667,0.5251646903820816,0.5,72.59719657897949
ar3.csv,0.2968008560154603,0.7106060606060606,0.6327234745414589,0.6999999999999998,0.27878787878787875,0.5,81.51931834220886
ar4.csv,0.3281275361263251,0.706862745098039,0.6845414170995553,0.7666666666666666,0.35294117647058826,0.5,155.32467460632324
ar5.csv,0.6044381505400855,0.8266666666666665,0.7915950184208679,0.9,0.2466666666666666,0.5,45.34909184773763
ar6.csv,0.25327779894798663,0.6736383442265795,0.6608979155305231,0.7111111111111109,0.36383442265795213,0.5,124.84307074546814
